listing_id,source,locality,locality_norm,bhk,area_sqft,rent_monthly,deposit,property_type,furnishing,floor_num,total_floors,first_seen_at,source_url,predicted_rent,value_score,is_deal,lat,lon,dist_nearest_metro_km,nearest_metro_station,dist_orr_km,dist_whitefield_km,dist_ecity_km,dist_manyata_km,rent_per_sqft,save_pct,deposit_to_rent,bhk_int,floor_ratio,source_bucket
1,nobroker,HSR Layout,hsr_layout,1.0,450.0,25000.0,100000.0,apartment,semi,1.0,5.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-25000/8a9fb08277680145017768269abe0c0f/detail,25005.404296875,0.00021612515482004788,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,55.55555555555556,0.0,4.0,1,0.2,nobroker
2,nobroker,HSR Layout,hsr_layout,2.0,600.0,32000.0,120000.0,independent_house,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-32000/ff808181635e099501635eb300a27c57/detail,31999.640625,-1.1230594874844785e-05,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,53.333333333333336,-0.0,3.75,2,0.17,nobroker
3,nobroker,HSR Layout,hsr_layout,1.0,500.0,30000.0,90000.0,apartment,semi,1.0,4.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-30000/8a9fb08278697f35017869f54a5c28bf/detail,30625.197265625,0.020414473095549574,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,60.0,2.0,3.0,1,0.25,nobroker
4,nobroker,HSR Layout,hsr_layout,2.0,1100.0,30000.0,100000.0,apartment,semi,,,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-30000/ff8081815511306d01551b1e27b80f65/detail,30050.5,0.0016805044841184007,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,27.272727272727273,0.2,3.33,2,,nobroker
5,nobroker,HSR Layout,hsr_layout,2.0,1200.0,40000.0,300000.0,apartment,semi,1.0,10.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-40000/8a9f8c8392718b640192718ec3a5000c/detail,39605.765625,-0.009953964246840639,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,33.333333333333336,-1.0,7.5,2,0.1,nobroker
6,nobroker,HSR Layout,hsr_layout,2.0,900.0,40000.0,180000.0,independent_house,semi,1.0,17.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--hsr-layout-bangalore-for-rs-40000/8a9f94827a342783017a3442589d0b6c/detail,40005.04296875,0.00012605832604502693,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,44.44444444444444,0.0,4.5,2,0.06,nobroker
7,nobroker,HSR Layout,hsr_layout,1.0,600.0,16000.0,75000.0,apartment,semi,1.0,4.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-18000/8aa9af78a0aa4a7201a0aa5d5ae40d72/detail,16897.234375,0.053099480961658854,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,26.666666666666668,5.3,4.69,1,0.25,nobroker
8,nobroker,HSR Layout,hsr_layout,1.0,600.0,25000.0,60000.0,apartment,semi,1.0,6.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-25000/ff8081816cbed6be016cbee4da6d098b/detail,24965.1328125,-0.0013966353698924468,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,41.666666666666664,-0.1,2.4,1,0.17,nobroker
9,nobroker,HSR Layout,hsr_layout,2.0,1000.0,40000.0,124998.0,apartment,semi,1.0,7.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-42000/ff8081815b056226015b05772acb0c64/detail,39993.328125,-0.00016682470083877272,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,40.0,-0.0,3.12,2,0.14,nobroker
10,nobroker,HSR Layout,hsr_layout,3.0,2000.0,45000.0,270000.0,independent_house,semi,1.0,3.0,2026-08-21T10:10:22Z,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-hsr-layout-bangalore-for-rs-45000/8a9fb3b27e0a25e5017e0a8b3d513668/detail,45517.10546875,0.011360684371835142,0.0,12.9081,77.6476,5.672,Jayadeva,2.941,12.943,7.126,15.466,22.5,1.1,6.0,3,0.33,nobroker
