locality_norm,n_listings,median_rent,median_rent_per_sqft,n_deals,median_save_pct,display_name,lat,lon,dist_nearest_metro_km,nearest_metro_station,dist_orr_km,dist_manyata_km,dist_ecity_km,dist_whitefield_km,dist_orr_bellandur_km
banashankari,29,25000.0,23.333333333333332,0.0,0.3,Banashankari,12.9256,77.5468,0.0,Banashankari,4.389,15.476,15.199,21.64,14.653
basavanagudi,36,32500.0,34.05797101449275,5.0,0.05,Basavanagudi,12.9422,77.5738,2.891,Jayanagar,3.923,12.479,14.284,18.307,11.881
bellandur,43,45000.0,40.0,3.0,0.0,Bellandur,12.925,77.682,7.429,Indiranagar,4.143,14.875,9.183,8.973,0.0
bommanahalli,31,20000.0,26.666666666666668,3.0,0.0,Bommanahalli,12.8973,77.6212,3.474,Jayadeva,2.294,16.39,7.172,15.91,7.274
btm_layout,32,28750.0,29.365384615384613,1.0,0.0,BTM Layout,12.9166,77.6101,1.528,Jayadeva,1.341,14.29,9.619,15.723,7.848
cooke_town,30,19000.0,24.5,3.0,-0.0,Cooke Town,13.0068,77.6209,3.25,Halasuru,4.136,4.214,18.467,12.779,11.25
cv_raman_nagar,28,25000.0,25.749003984063744,2.0,-0.0,CV Raman Nagar,13.0117,77.66,2.632,Byappanahalli,3.912,5.621,18.514,8.816,9.931
doddanekundi,29,35000.0,37.5,2.0,0.0,,,,,,,,,,
domlur,35,30000.0,38.888888888888886,6.0,-0.0,Domlur,12.9611,77.6386,1.938,Indiranagar,5.114,9.496,13.098,10.981,6.183
electronic_city,36,27500.0,25.65714285714286,3.0,0.0,Electronic City,12.8452,77.6602,7.697,Silk Institute,9.063,22.593,0.0,17.672,9.183
frazer_town,32,35000.0,31.696428571428573,2.0,-0.05,Frazer Town,12.9987,77.6118,2.603,Halasuru,4.426,5.205,17.856,13.623,11.181
hebbal,38,21000.0,21.701149425287355,3.0,-0.0,Hebbal,13.0358,77.597,6.21,Yeshwanthpur,0.0,2.751,22.273,16.146,15.382
hoodi,33,33000.0,36.666666666666664,2.0,-0.05,,,,,,,,,,
hsr_layout,57,30000.0,33.333333333333336,7.0,-0.4,HSR Layout,12.9081,77.6476,5.672,Jayadeva,2.941,15.466,7.126,12.943,4.175
indiranagar,41,30000.0,41.1764705882353,1.0,0.0,Indiranagar,12.9784,77.6408,0.0,Indiranagar,6.498,7.687,14.96,10.432,7.429
jayanagar,35,35000.0,28.125,2.0,-0.05,Jayanagar,12.925,77.5938,0.0,Jayanagar,2.208,13.625,11.425,16.893,9.559
jp_nagar,38,34000.0,29.791666666666664,1.0,0.0,JP Nagar,12.9081,77.5831,0.0,JP Nagar,0.0,15.726,10.898,18.748,10.882
kadugodi,33,30000.0,30.0,2.0,-0.0,,,,,,,,,,
kaggadasapura,37,30000.0,29.589041095890412,4.0,-0.25,,,,,,,,,,
kalyan_nagar,31,26000.0,28.14814814814815,1.0,0.0,Kalyan Nagar,13.0219,77.6437,3.377,Byappanahalli,5.29,3.555,19.729,10.869,11.546
kammanahalli,24,16500.0,24.5,4.0,-0.4,,,,,,,,,,
kanakapura_road,37,30000.0,26.256983240223462,4.0,-0.1,,,,,,,,,,
kengeri,29,22000.0,25.0,4.0,0.0,Kengeri,12.9081,77.482,7.288,Banashankari,10.958,21.368,20.544,28.922,21.758
koramangala,42,30000.0,32.32142857142857,5.0,0.1,Koramangala,12.9352,77.6245,3.515,Jayanagar,1.937,12.183,10.73,13.393,6.334
kr_puram,23,15000.0,20.0,4.0,0.0,,,,,,,,,,
malleshwaram,32,33000.0,29.245014245014247,2.0,-0.1,Malleshwaram,13.0035,77.5647,1.901,Rajajinagar,3.891,7.602,20.42,18.754,15.419
marathahalli,37,20000.0,27.77777777777778,4.0,0.0,Marathahalli,12.9591,77.6974,3.948,Hoodi,0.0,12.635,13.291,5.181,4.143
nagarabhavi,28,20500.0,24.807692307692307,3.0,0.1,,,,,,,,,,
rajajinagar,25,16000.0,22.105263157894736,3.0,0.1,Rajajinagar,12.9915,77.5522,0.0,Rajajinagar,4.371,9.49,20.041,20.013,15.891
rajarajeshwari_nagar,36,25500.0,23.659453120835778,3.0,0.0,,,,,,,,,,
ramamurthy_nagar,27,18000.0,20.0,4.0,0.0,,,,,,,,,,
rt_nagar,28,22000.0,24.01844532279315,3.0,0.3,,,,,,,,,,
sanjay_nagar,39,30000.0,26.923076923076923,4.0,0.1,,,,,,,,,,
sarjapur,31,34000.0,32.0,1.0,-0.0,Sarjapur,12.901,77.6874,9.979,Indiranagar,6.551,17.537,6.87,10.814,2.732
silk_board,30,29000.0,35.719298245614034,2.0,0.0,Silk Board,12.9179,77.6224,2.865,Jayadeva,0.0,14.101,9.063,14.498,6.507
ulsoor,30,25000.0,33.98026315789474,2.0,-0.0,Ulsoor,12.9799,77.6248,0.38,Halasuru,6.899,7.219,15.462,12.151,8.7
vijayanagar,26,20000.0,22.855477855477854,1.0,-0.1,,,,,,,,,,
whitefield,38,30000.0,31.555555555555557,4.0,0.0,Whitefield,12.9698,77.75,2.125,Kadugodi,5.823,16.297,16.932,2.257,8.895
wilson_garden,30,21000.0,30.625,3.0,-0.2,,,,,,,,,,
yelahanka,40,32000.0,25.0,2.0,-0.0,Yelahanka,13.1006,77.5963,10.022,Yeshwanthpur,7.206,6.754,29.231,19.886,21.621
yeshwanthpur,32,30000.0,30.380963826463166,0.0,-0.2,Yeshwanthpur,13.029,77.5401,0.0,Yeshwanthpur,0.0,8.904,24.23,21.853,19.239
,1,75000.0,41.551246537396125,0.0,-0.5,,,,,,,,,,
